Time ,Thermistor,Potentiometer,
920,476,595,
921,476,595,
922,476,594,
923,476,595,
924,476,595,
925,476,594,
926,476,595,
927,476,595,
928,476,594,
929,476,594,
930,476,595,
931,476,595,
932,476,595,
933,476,595,
934,476,595,
935,476,595,
936,476,594,
937,476,595,
938,476,594,
939,476,594,
940,476,595,
941,476,595,
942,476,595,
943,476,595,
944,476,595,
945,476,594,
946,476,594,
947,476,595,
948,476,595,
949,477,594,
950,476,595,
951,476,595,
952,477,594,
953,476,594,
954,476,595,
955,476,595,
956,477,595,
957,476,595,
958,476,595,
959,477,594,
960,476,594,
961,476,595,
962,476,594,
963,476,594,
964,476,595,
965,476,594,
966,477,594,
967,476,594,
968,477,595,
969,477,594,
970,476,595,
971,476,595,
972,477,595,
973,476,594,
974,476,595,
975,477,594,
976,477,595,
977,476,595,
978,476,595,
979,477,594,
980,476,595,
981,476,594,
982,477,595,
983,477,594,
984,476,595,
985,477,594,
986,477,594,
987,476,594,
988,477,595,
989,477,594,
990,476,595,
991,476,595,
992,477,594,
993,477,594,
994,476,594,
995,477,595,
996,477,595,
997,476,594,
998,476,595,
999,477,595,
1000,477,594,
1001,476,595,
1002,476,595,
1003,477,595,
1004,477,594,
1005,477,595,
1006,477,594,
1007,476,594,
1008,476,594,
1009,477,594,
1010,477,594,
1011,476,595,
1012,477,595,
1013,477,594,
1014,476,595,
1015,476,595,
1016,477,595,
1017,477,594,
1018,476,595,
1019,477,595,
1020,477,594,
1021,477,594,
1022,477,594,
1023,477,594,
1024,476,595,
1025,476,595,
1026,477,594,
1027,477,594,
1028,477,595,
1029,477,594,
1030,477,594,
1031,477,594,
1032,476,595,
1033,477,595,
1034,477,595,
1035,476,595,
1036,477,595,
1037,477,595,
1038,477,594,
1039,477,595,
1040,477,595,
1041,477,594,
1042,476,595,
1043,477,594,
1044,477,595,
1045,477,595,
1046,477,595,
1047,477,595,
1048,477,595,
1049,476,595,
1050,477,594,
1051,477,594,
1052,476,594,
1053,477,594,
1054,477,595,
1055,476,595,
1056,477,595,
1057,477,594,
1058,477,595,
1059,477,595,
1060,477,595,
1061,477,595,
1062,477,595,
1063,477,595,
1064,477,594,
1065,477,595,
1066,477,595,
1067,477,594,
1068,477,594,
1069,477,594,
1070,477,594,
1071,477,595,
1072,477,595,
1073,477,595,
1074,477,594,
1075,477,595,
1076,477,594,
1077,477,594,
1078,477,595,
1079,477,595,
1080,477,594,
1081,478,595,
1082,477,595,
1083,477,595,
1084,477,594,
1085,478,594,
1086,477,594,
1087,478,594,
1088,477,595,
1089,477,595,
1090,477,595,
1091,478,595,
1092,477,595,
1093,477,595,
1094,478,594,
1095,477,595,
1096,477,594,
1097,477,594,
1098,477,595,
1099,477,595,
1100,477,595,
1101,478,595,
1102,477,595,
1103,477,595,
1104,477,594,
1105,477,595,
1106,477,595,
1107,478,594,
1108,478,595,
1109,477,595,
1110,477,594,
1111,478,595,
1112,477,595,
1113,477,594,
1114,477,595,
1115,478,594,
1116,477,594,
1117,477,594,
1118,477,595,
1119,477,594,
1120,477,594,
1121,478,594,
1122,477,595,
1123,477,595,
1124,477,595,
1125,478,595,
1126,477,595,
1127,477,594,
1128,478,595,
1129,478,594,
1130,477,595,
1131,478,594,
1132,478,595,
1133,477,594,
1134,477,595,
1135,477,594,
1136,478,595,
1137,477,594,
1138,478,594,
1139,478,595,
1140,477,594,
1141,478,594,
1142,478,594,
1143,477,594,
1144,477,594,
1145,478,595,
1146,478,595,
1147,477,594,
1148,478,594,
1149,478,595,
1150,477,594,
1151,477,594,
1152,478,595,
1153,477,594,
1154,477,594,
1155,478,594,
1156,478,595,
1157,477,595,
1158,478,594,
1159,478,595,
1160,477,594,
1161,477,595,
1162,478,595,
1163,478,594,
1164,477,594,
1165,478,594,
1166,478,595,
1167,477,594,
1168,477,594,
1169,478,595,
1170,478,594,
1171,477,594,
1172,478,594,
1173,478,595,
1174,478,594,
1175,478,594,
1176,478,595,
1177,477,595,
1178,477,594,
1179,478,595,
1180,478,595,
1181,477,595,
1182,478,595,
1183,478,595,
1184,477,594,
1185,477,594,
1186,478,595,
1187,478,595,
1188,477,595,
1189,478,595,
1190,478,595,
1191,477,594,
1192,478,594,
1193,478,595,
1194,477,595,
1195,477,594,
1196,478,595,
1197,478,595,
1198,477,595,
1199,478,594,
1200,478,595,
1201,477,594,
1202,477,595,
1203,478,595,
1204,478,594,
1205,478,594,
1206,478,595,
1207,478,595,
1208,478,595,
